shipment_id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,order_amount_local,currency_code,prior_purchases,product_importance,discount_offered,weight_in_gms,reached_on_time_y_n,customer_id,shipment_date
129,A,Road,4,4,200,CNY,4,medium,16,2060,TRUE,CUST_0298,9/11/2025
130,B,Road,4,5,224,NOK,4,medium,21,2026,TRUE,CUST_0011,10/11/2025
131,C,Road,3,5,179,CNY,2,low,17,1364,TRUE,CUST_0048,11/11/2025
132,F,Road,3,4,144,EUR,3,low,50,1865,TRUE,CUST_0035,12/11/2025
133,D,Flight,5,2,247,SGD,3,low,17,3889,TRUE,CUST_0022,13/11/2025
134,F,Flight,5,4,280,EUR,6,medium,51,3582,TRUE,CUST_0145,14/11/2025
135,A,Flight,3,3,168,GBP,2,medium,1,1829,TRUE,CUST_0186,15/11/2025
136,B,Flight,3,5,157,USD,3,medium,4,1889,TRUE,CUST_0227,16/11/2025
137,C,Flight,3,3,189,CNY,4,medium,51,2208,TRUE,CUST_0068,17/11/2025
138,F,Flight,3,5,162,EUR,2,medium,7,1739,TRUE,CUST_0685,18/11/2025
139,D,Flight,4,1,207,CNY,5,low,48,2399,TRUE,CUST_0728,19/11/2025
140,F,Flight,5,1,237,NOK,2,low,10,3860,TRUE,CUST_0031,20/11/2025
141,A,Flight,4,4,264,CNY,3,high,59,2020,TRUE,CUST_0018,21/11/2025
142,B,Flight,5,4,149,EUR,3,low,51,1645,TRUE,CUST_0005,22/11/2025
143,C,Flight,5,5,162,SGD,3,low,41,1462,TRUE,CUST_0042,23/11/2025
144,F,Flight,2,1,205,EUR,4,medium,63,2156,TRUE,CUST_0155,24/11/2025
145,D,Flight,2,1,158,GBP,3,medium,51,1540,TRUE,CUST_0196,25/11/2025
146,F,Flight,2,2,248,USD,2,low,46,3707,TRUE,CUST_0237,26/11/2025
147,A,Flight,3,5,191,CNY,3,low,23,3750,TRUE,CUST_0078,27/11/2025
148,B,Flight,4,3,146,EUR,4,medium,24,1844,TRUE,CUST_0615,28/11/2025
149,C,Flight,3,3,135,CNY,3,low,56,1490,TRUE,CUST_0658,29/11/2025
150,F,Flight,5,1,149,NOK,3,low,40,1062,TRUE,CUST_0001,30/11/2025
151,D,Flight,4,4,220,CNY,2,medium,7,2551,TRUE,CUST_0038,1/12/2025
152,F,Flight,5,3,98,EUR,5,medium,44,1269,TRUE,CUST_0025,2/12/2025
153,A,Flight,3,4,97,SGD,4,low,32,1238,TRUE,CUST_0012,3/12/2025
154,B,Flight,3,3,183,EUR,2,low,53,3932,TRUE,CUST_0165,4/12/2025
155,C,Ship,3,3,162,GBP,3,medium,8,1869,TRUE,CUST_0206,5/12/2025
156,F,Ship,5,1,114,USD,4,low,47,1443,TRUE,CUST_0247,6/12/2025
157,D,Ship,6,3,275,CNY,5,low,41,2491,TRUE,CUST_0088,7/12/2025
158,F,Ship,3,2,203,EUR,2,medium,39,3845,TRUE,CUST_0545,8/12/2025
159,A,Ship,5,5,205,CNY,2,high,65,3671,TRUE,CUST_0588,9/12/2025
160,B,Ship,3,3,149,NOK,3,low,63,1946,TRUE,CUST_0021,10/12/2025
161,C,Ship,2,2,112,CNY,4,medium,56,1138,TRUE,CUST_0008,11/12/2025
162,F,Ship,3,1,207,EUR,3,medium,56,3482,TRUE,CUST_0045,12/12/2025
163,D,Ship,4,1,261,SGD,4,low,58,3427,TRUE,CUST_0032,13/12/2025
164,F,Ship,5,2,274,EUR,3,medium,6,3375,TRUE,CUST_0175,14/12/2025
165,A,Ship,3,5,141,GBP,2,low,52,1692,TRUE,CUST_0216,15/12/2025
166,B,Ship,3,3,166,USD,4,medium,17,1498,TRUE,CUST_0057,16/12/2025
167,C,Ship,5,2,141,CNY,3,high,34,1020,TRUE,CUST_0098,17/12/2025
168,F,Ship,4,5,152,EUR,3,low,43,1709,TRUE,CUST_0475,18/12/2025
169,D,Ship,4,2,250,CNY,3,low,53,2478,TRUE,CUST_0518,19/12/2025
170,F,Ship,4,3,161,NOK,3,medium,28,1809,TRUE,CUST_0041,20/12/2025
171,A,Ship,4,3,185,CNY,3,medium,10,2263,TRUE,CUST_0028,21/12/2025
172,B,Ship,4,4,176,EUR,4,high,52,1096,TRUE,CUST_0015,22/12/2025
173,C,Ship,3,4,148,SGD,3,low,56,1550,TRUE,CUST_0002,23/12/2025
174,F,Ship,3,2,270,EUR,3,low,63,2751,TRUE,CUST_0185,24/12/2025
175,D,Ship,3,3,242,GBP,3,low,51,3935,TRUE,CUST_0226,25/12/2025
176,F,Ship,4,4,150,USD,2,medium,3,1285,TRUE,CUST_0067,26/12/2025
177,A,Ship,4,5,192,CNY,3,high,20,3872,TRUE,CUST_0108,27/12/2025
178,B,Ship,4,5,116,EUR,3,medium,54,1314,TRUE,CUST_0405,28/12/2025
179,C,Ship,3,3,192,CNY,3,medium,2,3995,TRUE,CUST_0448,29/12/2025
180,F,Ship,5,5,255,NOK,4,medium,3,3440,TRUE,CUST_0011,1/10/2025
181,D,Ship,4,1,161,CNY,7,medium,18,1294,TRUE,CUST_0048,2/10/2025
182,F,Ship,4,5,157,EUR,3,low,20,1487,TRUE,CUST_0035,3/10/2025
183,A,Ship,3,2,164,SGD,10,high,28,1940,TRUE,CUST_0022,4/10/2025
184,B,Ship,3,5,162,EUR,7,medium,16,1052,TRUE,CUST_0195,5/10/2025
185,C,Ship,3,3,146,GBP,2,low,50,1486,TRUE,CUST_0236,6/10/2025
186,F,Ship,3,2,209,USD,3,medium,54,3001,TRUE,CUST_0077,7/10/2025
187,D,Ship,5,4,134,CNY,2,medium,55,1386,TRUE,CUST_0118,8/10/2025
188,F,Ship,2,1,222,EUR,2,medium,5,3778,TRUE,CUST_0335,9/10/2025
189,A,Ship,2,5,139,CNY,3,low,27,1233,TRUE,CUST_0378,10/10/2025
190,B,Ship,2,4,134,NOK,3,low,42,1415,TRUE,CUST_0031,11/10/2025
191,C,Ship,2,5,130,CNY,3,low,16,1092,TRUE,CUST_0018,12/10/2025
192,F,Ship,2,5,133,EUR,3,low,62,1596,TRUE,CUST_0005,13/10/2025
193,D,Ship,2,4,140,SGD,3,low,7,1411,TRUE,CUST_0042,14/10/2025
194,F,Ship,2,2,158,EUR,3,low,28,1968,TRUE,CUST_0205,15/10/2025
195,A,Ship,4,2,270,GBP,4,low,46,1736,TRUE,CUST_0246,16/10/2025
196,B,Ship,2,5,140,USD,3,low,30,1030,TRUE,CUST_0087,17/10/2025
197,C,Ship,2,2,135,CNY,3,low,15,1339,TRUE,CUST_0128,18/10/2025
198,F,Ship,2,3,136,EUR,3,low,19,1568,TRUE,CUST_0265,19/10/2025
199,D,Ship,2,3,142,CNY,3,medium,38,7640,TRUE,CUST_0308,20/10/2025
200,F,Ship,2,2,154,NOK,3,medium,38,7846,TRUE,CUST_0001,21/10/2025
201,A,Ship,2,3,139,CNY,3,low,9,1471,TRUE,CUST_0038,22/10/2025
202,B,Ship,2,3,160,EUR,3,low,43,1251,TRUE,CUST_0025,23/10/2025
203,C,Ship,2,4,134,SGD,3,low,58,1067,TRUE,CUST_0012,24/10/2025
204,F,Ship,5,3,161,EUR,5,high,48,1883,TRUE,CUST_0215,25/10/2025
205,D,Ship,2,5,155,GBP,3,low,23,1602,TRUE,CUST_0056,26/10/2025
206,F,Ship,2,3,145,USD,3,medium,24,7588,TRUE,CUST_0097,27/10/2025
207,A,Ship,2,2,157,CNY,3,low,1,1477,TRUE,CUST_0138,28/10/2025
208,B,Ship,2,2,160,EUR,3,low,48,1691,TRUE,CUST_0695,29/10/2025
209,C,Ship,2,4,152,CNY,3,low,55,1498,TRUE,CUST_0738,30/10/2025
210,F,Ship,2,5,148,NOK,3,high,11,1502,TRUE,CUST_0021,31/10/2025
211,D,Ship,2,1,127,CNY,3,low,15,1522,TRUE,CUST_0008,1/11/2025
212,F,Ship,2,5,154,EUR,3,low,21,1113,TRUE,CUST_0045,2/11/2025
213,A,Ship,2,5,127,SGD,3,low,44,1341,TRUE,CUST_0032,3/11/2025
214,B,Ship,2,5,160,EUR,3,medium,31,7401,TRUE,CUST_0225,4/11/2025
215,C,Ship,2,4,129,GBP,3,low,48,1219,TRUE,CUST_0066,5/11/2025
216,F,Ship,2,5,158,USD,3,low,40,1722,TRUE,CUST_0107,6/11/2025
217,D,Ship,4,3,185,CNY,3,medium,3,3131,TRUE,CUST_0148,7/11/2025
218,F,Ship,4,4,176,EUR,4,high,63,1293,TRUE,CUST_0625,8/11/2025
219,A,Ship,3,4,148,CNY,3,low,37,1523,TRUE,CUST_0668,9/11/2025
220,B,Ship,3,5,270,NOK,3,low,60,3885,TRUE,CUST_0041,10/11/2025
221,C,Ship,3,4,242,CNY,3,low,29,2381,TRUE,CUST_0028,11/11/2025
222,F,Ship,4,3,150,EUR,2,medium,31,1588,TRUE,CUST_0015,12/11/2025
223,D,Ship,4,2,192,SGD,3,high,4,2061,TRUE,CUST_0002,13/11/2025
224,F,Ship,4,5,116,EUR,3,medium,9,1314,TRUE,CUST_0235,14/11/2025
225,A,Ship,3,4,192,GBP,3,medium,31,3331,TRUE,CUST_0076,15/11/2025
226,B,Ship,5,4,255,USD,4,medium,38,2771,TRUE,CUST_0117,16/11/2025
227,C,Ship,4,3,161,CNY,7,medium,63,1496,TRUE,CUST_0158,17/11/2025
228,F,Ship,4,2,157,EUR,3,low,48,1393,TRUE,CUST_0555,18/11/2025
229,D,Ship,3,2,164,CNY,10,high,14,1375,TRUE,CUST_0598,19/11/2025
230,F,Ship,3,3,162,NOK,7,medium,42,1278,TRUE,CUST_0011,20/11/2025
231,A,Ship,3,1,146,CNY,2,low,54,1528,TRUE,CUST_0048,21/11/2025
232,B,Ship,3,4,209,EUR,3,medium,60,2240,TRUE,CUST_0035,22/11/2025
233,C,Ship,5,5,134,SGD,2,medium,53,1088,TRUE,CUST_0022,23/11/2025
234,F,Ship,2,1,222,EUR,2,medium,58,3626,TRUE,CUST_0245,24/11/2025
235,D,Ship,2,1,139,GBP,3,low,39,1582,TRUE,CUST_0086,25/11/2025
236,F,Ship,2,2,134,USD,3,low,38,1352,TRUE,CUST_0127,26/11/2025
237,A,Ship,2,3,130,CNY,3,low,48,1801,TRUE,CUST_0168,27/11/2025
238,B,Ship,2,2,133,EUR,3,low,5,1268,TRUE,CUST_0485,28/11/2025
239,C,Ship,2,3,140,CNY,3,low,23,1372,TRUE,CUST_0528,29/11/2025
240,F,Ship,2,3,158,NOK,3,low,10,1515,TRUE,CUST_0031,30/11/2025
241,D,Ship,4,5,270,CNY,4,low,65,1818,TRUE,CUST_0018,1/12/2025
242,F,Ship,2,4,140,EUR,3,low,33,1278,TRUE,CUST_0005,2/12/2025
243,A,Ship,2,2,135,SGD,3,low,58,1734,TRUE,CUST_0042,3/12/2025
244,B,Ship,2,4,136,EUR,3,low,43,1958,TRUE,CUST_0055,4/12/2025
245,C,Ship,2,1,142,GBP,3,medium,8,6064,TRUE,CUST_0096,5/12/2025
246,F,Ship,2,4,154,USD,3,medium,48,7684,TRUE,CUST_0137,6/12/2025
247,D,Ship,2,3,139,CNY,3,low,3,1788,TRUE,CUST_0178,7/12/2025
248,F,Road,2,4,160,EUR,3,low,50,1030,TRUE,CUST_0415,8/12/2025
249,A,Road,2,2,134,CNY,3,low,38,1530,TRUE,CUST_0458,9/12/2025
250,B,Road,5,5,161,NOK,5,high,54,1511,TRUE,CUST_0001,10/12/2025
251,C,Road,2,3,155,CNY,3,low,45,1639,TRUE,CUST_0038,11/12/2025
252,F,Road,2,2,145,EUR,3,medium,5,6102,TRUE,CUST_0025,12/12/2025
253,D,Road,2,1,157,SGD,3,low,58,1930,TRUE,CUST_0012,13/12/2025
254,F,Road,2,5,160,EUR,3,low,19,1399,TRUE,CUST_0065,14/12/2025
255,A,Road,2,2,152,GBP,3,low,61,1800,TRUE,CUST_0106,15/12/2025
256,B,Road,2,2,148,USD,3,high,35,1349,TRUE,CUST_0147,16/12/2025
257,C,Road,2,2,127,CNY,3,low,13,1128,TRUE,CUST_0188,17/12/2025
258,F,Road,2,2,129,EUR,3,medium,22,6614,TRUE,CUST_0345,18/12/2025
259,D,Road,2,3,158,CNY,3,low,13,1245,TRUE,CUST_0388,19/12/2025
260,F,Road,2,4,147,NOK,3,low,5,1920,TRUE,CUST_0021,20/12/2025
261,A,Road,2,5,159,CNY,3,low,49,1621,TRUE,CUST_0008,21/12/2025
262,B,Road,2,3,151,EUR,3,low,23,1930,TRUE,CUST_0045,22/12/2025
263,C,Road,3,1,294,SGD,4,low,52,1089,TRUE,CUST_0032,23/12/2025
264,F,Road,3,2,226,EUR,2,medium,45,1446,TRUE,CUST_0075,24/12/2025
265,D,Road,5,3,271,GBP,5,high,9,1813,TRUE,CUST_0116,25/12/2025
266,F,Road,7,2,203,USD,5,medium,61,1856,TRUE,CUST_0157,26/12/2025
267,A,Road,2,3,264,CNY,4,low,10,1648,TRUE,CUST_0198,27/12/2025
268,B,Road,4,1,258,EUR,3,medium,36,2211,TRUE,CUST_0275,28/12/2025
269,C,Road,3,5,241,CNY,3,low,21,3078,TRUE,CUST_0318,29/12/2025
270,F,Flight,4,5,208,NOK,3,medium,23,2056,TRUE,CUST_0041,1/10/2025
271,D,Flight,3,2,209,CNY,5,medium,12,3054,TRUE,CUST_0028,2/10/2025
272,F,Flight,5,1,182,EUR,2,medium,23,2707,TRUE,CUST_0015,3/10/2025
273,A,Flight,4,5,148,SGD,2,medium,43,1087,TRUE,CUST_0002,4/10/2025
274,B,Flight,2,3,183,EUR,2,medium,52,3199,TRUE,CUST_0085,5/10/2025
275,C,Flight,3,5,229,GBP,6,medium,22,2717,TRUE,CUST_0126,6/10/2025
276,F,Flight,5,5,115,USD,5,low,26,1692,TRUE,CUST_0167,7/10/2025
277,D,Flight,4,2,136,CNY,3,low,65,1962,TRUE,CUST_0208,8/10/2025
278,F,Flight,4,4,212,EUR,3,low,21,3307,TRUE,CUST_0705,9/10/2025
279,A,Flight,4,3,171,CNY,3,low,24,1304,TRUE,CUST_0748,10/10/2025
280,B,Flight,3,1,151,NOK,2,low,60,1925,TRUE,CUST_0011,11/10/2025
281,C,Flight,3,1,205,CNY,3,medium,39,3062,TRUE,CUST_0048,12/10/2025
282,F,Flight,5,4,147,EUR,3,medium,23,1132,TRUE,CUST_0035,13/10/2025
283,D,Flight,3,3,155,SGD,3,low,29,1712,TRUE,CUST_0022,14/10/2025
284,F,Flight,5,4,165,EUR,3,low,20,1150,TRUE,CUST_0095,15/10/2025
285,A,Flight,5,5,230,GBP,3,low,32,3249,TRUE,CUST_0136,16/10/2025
286,B,Flight,2,4,181,USD,4,medium,13,2309,TRUE,CUST_0177,17/10/2025
287,C,Flight,5,3,234,CNY,2,low,55,3308,TRUE,CUST_0218,18/10/2025
288,F,Flight,4,4,149,EUR,3,low,34,1977,TRUE,CUST_0635,19/10/2025
289,D,Flight,5,5,156,CNY,2,low,44,1561,TRUE,CUST_0678,20/10/2025
290,F,Flight,4,2,172,NOK,3,medium,59,1858,TRUE,CUST_0031,21/10/2025
291,A,Flight,4,4,270,CNY,3,low,12,3279,TRUE,CUST_0018,22/10/2025
292,B,Ship,4,1,206,EUR,3,medium,23,3807,TRUE,CUST_0005,23/10/2025
293,C,Ship,4,3,211,SGD,4,medium,40,3106,TRUE,CUST_0042,24/10/2025
294,F,Ship,3,2,136,EUR,4,low,62,1090,TRUE,CUST_0105,25/10/2025
295,D,Ship,5,1,186,GBP,2,high,52,3981,TRUE,CUST_0146,26/10/2025
296,F,Ship,3,1,202,USD,2,medium,62,3398,TRUE,CUST_0187,27/10/2025
297,A,Ship,4,2,183,CNY,3,medium,12,3646,TRUE,CUST_0228,28/10/2025
298,B,Ship,4,4,232,EUR,2,low,36,2861,TRUE,CUST_0565,29/10/2025
299,C,Ship,4,2,147,CNY,4,medium,52,1129,TRUE,CUST_0608,30/10/2025
